"","X","First.Class","Business.Class","Economy.Class"
"108",108,1.636,1.524,19.26
"109",109,1.741,2.212,18.781
"110",110,1.597,1.777,17.445
"111",111,1.943,2.552,19.628
"112",112,1.66,1.889,17.692
"113",113,0.616,0.851,7.046
"114",114,0,0,0
"115",115,0,0,0
"116",116,0,0,0
"117",117,0,0,0
"118",118,0,0,0
"119",119,0,0,0
"120",120,0,0,0
"121",121,0.053,0.618,11.569
"122",122,0.04,0.565,11.973
"123",123,0.354,0.414,11.123
"124",124,0.505,0.543,11.479
"125",125,0.711,0.712,16.969
"126",126,0.723,0.652,15.997
"127",127,0.796,0.709,16.555
"128",128,0.856,0.793,17.959
"129",129,0.845,0.838,18.868
"130",130,0.807,0.763,15.4
"131",131,0.276,0.266,10.544
"132",132,0.339,0.362,12.755
"133",133,0.581,0.665,19.02
"134",134,0.894,0.957,20.077
"135",135,0.936,1.145,22.124
"136",136,1.111,1.312,19.92
"137",137,1.446,1.689,17.215
"138",138,1.517,1.762,17.662
"139",139,1.513,2.16,19.828
"140",140,1.508,1.877,18.754
"141",141,1.636,2.048,20.39
"142",142,1.38,1.824,18.383
"143",143,1.453,1.986,19.377
"144",144,1.459,2.032,20.133
"145",145,1.538,1.956,19.21
"146",146,1.327,1.503,20.736
"147",147,1.027,1.256,18.821
"148",148,1.365,1.752,20.952
"149",149,1.475,1.878,20.565
"150",150,1.365,1.945,20.311
"151",151,1.351,1.735,17.859
"152",152,1.231,1.825,19.385
"153",153,1.447,1.715,17.962
"154",154,1.408,1.594,19.569
"155",155,1.089,1.377,17.894
"156",156,1.357,1.686,18.114
"157",157,1.287,1.56,19.17
"158",158,1.087,1.692,18.713
"159",159,1.017,1.597,20.52
"160",160,1.09,1.729,20.345
"161",161,1.343,1.733,20.015
"162",162,1.164,1.813,18.027
"163",163,1.169,1.725,19.697
"164",164,1.465,1.909,19.897
"165",165,1.242,1.765,19.213
"166",166,1.22,1.781,19.773
"167",167,1.231,1.717,20.128
"168",168,1.266,1.884,21.181
"169",169,1.337,1.881,21.933
"170",170,1.079,1.433,20.049
"171",171,1.223,1.534,23.358
"172",172,1.351,1.926,21.12
"173",173,1.269,1.87,21.97
"174",174,1.382,1.942,21.411
"175",175,1.435,2.222,22.569
"176",176,1.371,1.909,20.849
"177",177,1.341,2.089,20.658
"178",178,1.399,2.026,21.192
"179",179,1.44,2.009,21.502
"180",180,1.236,2.034,22.152
"181",181,1.441,2.085,21.904
"182",182,0.988,1.33,20.634
"183",183,0.3,0.318,15.535
"184",184,0.401,0.522,16.69
"185",185,0.529,0.824,19.15
"186",186,0.786,1.113,21.128
"187",187,1.086,1.285,21.136
"188",188,0.725,1.107,19.693
"189",189,1.127,1.591,21.576
