State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,264.6,1000,1800,1650,9-Mar-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,230.6,800,2200,1850,6-Mar-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,196.1,1200,2500,2000,5-Mar-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,250.8,1000,2250,1850,4-Mar-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,174.8,800,2000,1450,2-Mar-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,183.1,800,1800,1550,1-Mar-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,211.4,700,1800,1350,29-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,212,800,2000,1650,28-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,315.6,1000,2200,1850,27-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,375.5,1200,2500,2150,26-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,193.2,1000,2500,2150,24-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,158.2,1200,3000,2350,23-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,158.6,1200,2800,2350,22-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,215.7,1000,2700,2350,21-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,179.8,1000,2500,2150,20-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,290.1,1500,2500,2100,19-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,135.9,1000,2500,2050,16-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,114.6,1000,2300,1900,15-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,190.8,1000,2300,1850,14-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,277,1000,2200,1700,13-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,307.9,1000,2500,1850,12-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,198.3,1000,2500,1950,10-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,169.1,1200,2200,1700,9-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,205,1000,2000,1600,8-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,223.9,1200,3000,2650,7-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,221.8,1200,3000,2650,6-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,280,1200,3500,3100,5-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,183,1500,3500,3100,3-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,112.2,1500,3800,3150,2-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,91.3,1500,3500,2900,1-Feb-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,129.8,1500,3500,2600,31-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,261.3,2000,3000,2800,29-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,250.1,1000,3100,2350,27-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,210.4,1200,2500,2250,25-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,156.8,1200,3000,2400,24-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,335.1,1200,2600,2250,23-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,144,700,1800,1350,19-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,194.8,800,1800,1350,18-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,196.3,700,1800,1350,17-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,126.7,1000,2000,1700,16-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,159.9,800,1800,1650,15-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,182.3,700,1400,1100,13-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,226.2,600,1300,1100,12-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,194.8,700,1600,1250,11-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,119.5,800,1700,1450,10-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,165.6,600,1500,1100,9-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,283.9,800,1600,1200,8-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,221.2,700,1300,1100,6-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,220.2,700,1500,1100,5-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,195,700,1500,1300,3-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,192.8,700,2000,1600,2-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,211.9,700,1600,1350,1-Jan-24
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,166.7,700,1400,1200,30-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,170.6,700,1600,1250,29-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,167.4,700,1500,1300,28-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,87,800,1500,1150,27-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,311,700,1300,1100,26-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,184.3,700,1400,1100,22-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,202.3,600,1400,1100,21-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,135.3,800,1600,1300,19-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,386.7,800,1600,1150,18-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,256.7,700,1800,1500,16-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,167.5,1000,2000,1800,15-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,119.8,800,2500,1850,14-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,181,1000,2200,1800,13-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,186.1,1000,2500,1900,11-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,234.7,1500,3000,2300,9-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,162.1,1500,3500,2900,8-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,100.1,1500,3500,2900,7-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,222.1,1500,3500,2850,6-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,278.9,2000,4200,3700,4-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,182,1400,3500,2850,2-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,218.5,1500,4000,3350,1-Dec-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,564,2000,5500,4750,28-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,248.5,2500,4500,3850,24-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,168.9,2000,4700,3950,23-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,209.8,2000,3300,2800,22-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,459.2,2500,4200,3750,20-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,136.5,2500,4200,3900,16-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,153.3,1500,3200,2850,11-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,245.4,1500,3300,2700,10-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,192.7,1200,2500,2100,4-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,219.7,1000,2200,1800,3-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,127.6,1200,2500,2050,2-Nov-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,327.4,1000,1800,1400,28-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,178.6,1000,2500,1950,27-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,236.2,1000,2000,1600,26-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,267.8,700,1500,1250,25-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,305.1,600,1500,1250,23-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,182.9,600,1300,1100,21-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,325,500,1000,750,19-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,306.4,500,1100,800,18-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,346,700,1400,1250,16-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,220.7,400,1000,800,14-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,185.5,400,1000,750,13-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,180.4,500,1000,750,12-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,315.4,500,1100,900,11-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,158.9,500,1200,950,10-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,412.3,400,1200,900,9-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,303.8,600,1000,950,7-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,109.3,400,1200,900,6-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,409.8,500,1300,1000,5-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,205.1,600,1400,1250,4-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,675.6,600,1600,1250,3-Oct-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,238.2,400,1100,850,30-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,446.8,400,1200,900,29-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,409.2,700,1200,1050,26-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,202.1,700,1200,1050,25-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,272.8,700,1100,950,23-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,374.9,700,1000,900,22-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,365.3,800,1200,1050,21-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,560.5,800,1300,1100,20-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,366.2,600,1000,850,18-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,312.8,600,1000,850,16-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,427.6,600,1000,700,15-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,237.8,700,1200,950,14-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,216.6,700,1200,1050,12-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,481.1,800,1200,1050,11-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,286.8,700,1200,1050,9-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,589.6,800,1500,1150,8-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,239.4,800,1500,1250,6-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,174.5,1500,2200,1700,5-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,498.2,1500,2200,1900,4-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,251.6,1500,2200,1950,2-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,295,1800,2500,2150,1-Sep-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,509.7,1800,2700,2350,31-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,469.2,2000,3000,2700,28-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,250.4,2200,3000,2500,26-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,226.6,1500,2500,2300,25-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,207.7,2000,2800,2500,24-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,108.9,2000,3200,2850,23-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,102.4,2500,4500,3650,22-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,309.3,2500,4300,3800,21-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,155.2,3000,4500,4150,19-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,181.8,3500,4500,4100,18-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,133.8,4000,8000,6500,12-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,147.6,6000,7000,6200,11-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,261.4,4000,8000,6750,10-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,210.2,7000,11000,9500,9-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,203.4,8000,12500,11500,8-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,239.6,8000,13500,11700,7-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,85,8000,14000,11500,5-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,133.7,8000,14000,12000,4-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,174.1,10000,15000,12700,3-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,43.6,10000,16000,14000,2-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,50.1,11000,16000,14000,1-Aug-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,336.5,12000,15500,14000,31-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,79.9,7500,13500,11000,28-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,170.1,8000,13000,11500,26-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,189.2,8000,13000,11000,25-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,202.5,9000,13000,11500,24-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,122.5,8000,10000,9500,22-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,114.5,7000,12000,9750,21-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,174.4,9000,12000,11000,19-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,30.9,9000,14000,12000,18-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,98.2,8000,12000,10000,15-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,113.7,7000,11000,9750,14-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,145.6,8000,11000,10000,13-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,151.1,8000,12000,11000,11-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,218.1,8000,11000,10500,10-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,71.8,7000,10000,9000,8-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,232.5,6500,9000,7850,7-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,132.5,5000,9000,8500,1-Jul-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,253,2000,6500,4500,28-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,167.5,2000,6500,4500,26-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,206,2000,5500,4000,24-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,106,2500,6000,5150,23-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,197.1,3000,4500,4000,21-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,393.2,2500,5000,4350,19-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,258.1,1300,3000,2500,17-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,296.5,1400,4000,3100,16-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,207.6,1500,3500,2800,15-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,141.5,2000,3500,3000,14-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,161.9,2500,5000,4000,13-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,472.3,2200,3500,3150,12-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,254.2,1200,2800,2200,10-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,327.2,500,2250,1850,9-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,261.1,1200,2500,2000,7-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,216.6,1200,3000,2500,6-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,378.6,1000,2300,1850,5-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,187.6,1000,2000,1800,3-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,109.9,1000,1800,1500,2-Jun-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,81.7,800,1500,1350,31-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,135.5,800,1300,1150,30-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,437.9,800,1300,1100,29-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,187.9,500,1200,900,27-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,311.2,700,1500,1200,24-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,271.3,800,1200,1100,23-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,299.6,700,1200,1050,22-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,253.2,500,800,700,20-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,287.2,500,1100,850,19-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,175.4,800,1300,1100,18-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,224.3,900,1400,1200,17-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,93.7,1000,1500,1300,16-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,230.3,800,1800,1350,15-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,217.9,1000,1600,1400,13-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,278.8,1000,1500,1300,11-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,141.8,800,1500,1300,10-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,354.8,800,1400,1250,9-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,103.8,500,1400,1100,6-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,236.8,500,1300,1050,5-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,206.6,500,1500,1050,4-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,168.4,1000,2000,1650,2-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,201.1,1000,2000,1650,1-May-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,203.1,400,1200,900,29-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,146.1,500,1300,1100,28-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,211.9,500,1200,950,27-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,147.3,500,1200,1050,26-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,177.6,500,1200,1050,25-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,402.8,700,1500,1250,24-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,137.5,400,1100,800,21-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,185.2,400,1100,850,20-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,175,500,1200,1000,19-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,136.9,700,1600,1250,18-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,252.5,500,1300,1000,17-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,315.1,400,1000,800,15-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,205.2,400,900,700,13-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,147.3,400,800,650,12-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,140.6,400,800,650,11-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,354,300,800,700,10-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,385.4,400,1000,750,8-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,151.5,400,900,700,6-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,450.3,500,1000,750,3-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,163,500,1200,900,1-Apr-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,240.8,400,1200,950,31-Mar-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,193,400,1000,800,29-Mar-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,231.7,500,1200,1000,13-Mar-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,137.9,600,1500,1250,10-Mar-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,209.7,500,1500,1150,9-Mar-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,84.3,500,1600,1200,7-Mar-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,208,500,1300,950,6-Mar-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,130.8,400,1400,1150,4-Mar-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,109.8,400,1300,1050,2-Mar-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,91.9,400,1200,1000,1-Mar-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,101.7,500,1200,850,28-Feb-23
Gujarat,Ahmedabad,Ahmedabad,Other,Vegetables,267.6,500,1000,800,27-Feb-23
