Matrix Size,Threads,Serial Time,Parallel Time,Speedup,Efficiency
5,1,1e-10,1e-10,1.0,1.0
5,2,1e-10,0.004018306732177734,2.488610418891658e-08,1.244305209445829e-08
5,4,1e-10,1e-10,1.0,0.25
5,8,1e-10,0.005263328552246094,1.8999383946367095e-08,2.374922993295887e-09
5,10,1e-10,0.001527547836303711,6.546439831434369e-08,6.5464398314343695e-09
5,15,1e-10,0.002702474594116211,3.7003123070136743e-08,2.4668748713424494e-09
5,20,1e-10,0.0024483203887939453,4.084432758788587e-08,2.0422163793942937e-09
50,1,0.0005102157592773438,1e-10,5102157.5927734375,5102157.5927734375
50,2,0.0005102157592773438,1e-10,5102157.5927734375,2551078.7963867188
50,4,0.0005102157592773438,0.0025103092193603516,0.20324817171621237,0.05081204292905309
50,8,0.0005102157592773438,0.003278017044067383,0.15564768346788857,0.01945596043348607
50,10,0.0005102157592773438,0.0035560131072998047,0.143479718404291,0.014347971840429099
50,15,0.0005102157592773438,0.007309675216674805,0.06980005871032975,0.004653337247355316
50,20,0.0005102157592773438,0.008510828018188477,0.05994901532341653,0.0029974507661708265
100,1,0.0001819133758544922,1e-10,1819133.7585449219,1819133.7585449219
100,2,0.0001819133758544922,1e-10,1819133.7585449219,909566.8792724609
100,4,0.0001819133758544922,1e-10,1819133.7585449219,454783.43963623047
100,8,0.0001819133758544922,0.0045087337493896484,0.040346888054571414,0.005043361006821427
100,10,0.0001819133758544922,1e-10,1819133.7585449219,181913.3758544922
100,15,0.0001819133758544922,0.011123418807983398,0.016354088522130533,0.0010902725681420356
100,20,0.0001819133758544922,0.004046916961669922,0.04495110168492989,0.0022475550842464944
250,1,1e-10,1e-10,1.0,1.0
250,2,1e-10,0.003465890884399414,2.885261057989957e-08,1.4426305289949785e-08
250,4,1e-10,0.0017883777618408203,5.591659778696174e-08,1.3979149446740435e-08
250,8,1e-10,1e-10,1.0,0.125
250,10,1e-10,0.010246515274047852,9.759415501314656e-09,9.759415501314656e-10
250,15,1e-10,0.005845308303833008,1.7107737488273445e-08,1.140515832551563e-09
250,20,1e-10,0.006284475326538086,1.5912227322736067e-08,7.956113661368033e-10
500,1,1e-10,1e-10,1.0,1.0
500,2,1e-10,1e-10,1.0,0.5
500,4,1e-10,1e-10,1.0,0.25
500,8,1e-10,0.018158435821533203,5.50708227199916e-09,6.88385283999895e-10
500,10,1e-10,0.012131214141845703,8.243197987500492e-09,8.243197987500492e-10
500,15,1e-10,0.015508413314819336,6.448112902977847e-09,4.298741935318565e-10
500,20,1e-10,0.025270938873291016,3.957114553653981e-09,1.9785572768269904e-10
750,1,1e-10,1e-10,1.0,1.0
750,2,1e-10,1e-10,1.0,0.5
750,4,1e-10,1e-10,1.0,0.25
750,8,1e-10,0.015664339065551758,6.383927185278763e-09,7.979908981598454e-10
750,10,1e-10,0.011813163757324219,8.465132800516671e-09,8.465132800516671e-10
750,15,1e-10,1e-10,1.0,0.06666666666666667
750,20,1e-10,1e-10,1.0,0.05
1000,1,1e-10,1e-10,1.0,1.0
1000,2,1e-10,1e-10,1.0,0.5
1000,4,1e-10,1e-10,1.0,0.25
1000,8,1e-10,0.017211437225341797,5.810090040171769e-09,7.262612550214712e-10
1000,10,1e-10,0.010107040405273438,9.894093225136818e-09,9.894093225136818e-10
1000,15,1e-10,0.0064792633056640625,1.5433853400058876e-08,1.0289235600039251e-09
1000,20,1e-10,0.015615463256835938,6.403908635641871e-09,3.201954317820936e-10
2000,1,1e-10,1e-10,1.0,1.0
2000,2,1e-10,1e-10,1.0,0.5
2000,4,1e-10,0.0005483627319335938,1.8236104347826087e-07,4.559026086956522e-08
2000,8,1e-10,1e-10,1.0,0.125
2000,10,1e-10,0.0034406185150146484,2.9064541611807916e-08,2.9064541611807916e-09
2000,15,1e-10,0.014008760452270508,7.1383903194513e-09,4.7589268796342e-10
2000,20,1e-10,1e-10,1.0,0.05
